Call_ID,Date,Time,Agent,Call_Type,Wait_Time_Seconds,Call_Duration_Seconds,Resolution,Satisfaction_Score
CALL-1320,2024-06-28,16:27,Mike Chen,New Service,47,360,Resolved,4
CALL-1321,2024-06-23,13:00,David Brown,Complaint,45,292,Resolved,3
CALL-1322,2024-04-08,09:51,Mike Chen,Billing Inquiry,13,213,Resolved,5
CALL-1323,2024-02-04,15:43,Emily Davis,Billing Inquiry,19,151,Resolved,4
CALL-1324,2024-02-24,15:09,Amanda Taylor,Account Changes,31,257,Callback Scheduled,1
CALL-1325,2024-02-01,15:24,David Brown,General Inquiry,40,138,Resolved,3
CALL-1326,2024-05-21,15:46,Robert Garcia,Technical Support,49,409,Escalated,4
CALL-1327,2024-02-22,14:32,James Wilson,New Service,43,394,Callback Scheduled,3
CALL-1328,2024-05-06,12:15,Chris Anderson,Account Changes,62,305,Resolved,4
CALL-1329,2024-03-22,10:55,Robert Garcia,Technical Support,33,397,Resolved,5
CALL-1330,2024-01-19,08:04,Sarah Johnson,Technical Support,31,431,Escalated,3
CALL-1331,2024-06-09,16:49,Amanda Taylor,Technical Support,5,523,Resolved,4
CALL-1332,2024-01-22,11:32,James Wilson,General Inquiry,54,146,Resolved,5
CALL-1333,2024-06-15,16:04,Lisa Martinez,Account Changes,20,101,Resolved,3
CALL-1334,2024-04-21,09:39,Robert Garcia,Billing Inquiry,10,111,Resolved,3
CALL-1335,2024-02-05,16:10,Chris Anderson,General Inquiry,5,110,Escalated,2
CALL-1336,2024-02-02,16:55,Lisa Martinez,New Service,56,516,Resolved,5
CALL-1337,2024-05-14,09:45,Robert Garcia,Account Changes,5,242,Resolved,5
CALL-1338,2024-02-12,12:16,Mike Chen,Complaint,20,260,Callback Scheduled,1
CALL-1339,2024-01-04,11:30,David Brown,Technical Support,72,655,Callback Scheduled,2
CALL-1340,2024-06-16,12:20,James Wilson,Technical Support,22,321,Resolved,4
CALL-1341,2024-05-08,15:03,Emily Davis,Billing Inquiry,38,178,Resolved,5
CALL-1342,2024-03-13,16:19,David Brown,Billing Inquiry,6,193,Resolved,5
CALL-1343,2024-06-08,11:23,Robert Garcia,General Inquiry,79,119,Escalated,3
CALL-1344,2024-03-03,10:59,Amanda Taylor,Billing Inquiry,17,160,Resolved,3
CALL-1345,2024-03-26,08:42,Amanda Taylor,Complaint,23,258,Escalated,2
CALL-1346,2024-05-05,19:09,Lisa Martinez,Billing Inquiry,62,125,Resolved,5
CALL-1347,2024-04-05,13:47,Mike Chen,Account Changes,5,236,Resolved,5
CALL-1348,2024-01-16,13:08,James Wilson,Technical Support,52,188,Resolved,5
CALL-1349,2024-03-24,11:17,James Wilson,Billing Inquiry,55,269,Resolved,4
CALL-1350,2024-02-12,13:20,Amanda Taylor,Billing Inquiry,5,252,Resolved,5
CALL-1351,2024-01-31,09:51,Lisa Martinez,Complaint,23,275,Callback Scheduled,1
CALL-1352,2024-01-24,16:22,Amanda Taylor,Technical Support,18,332,Unresolved,1
CALL-1353,2024-04-13,17:35,Jennifer White,Billing Inquiry,5,203,Resolved,3
CALL-1354,2024-02-26,10:52,Amanda Taylor,Technical Support,25,287,Resolved,4
CALL-1355,2024-01-20,08:04,James Wilson,Complaint,15,316,Unresolved,3
CALL-1356,2024-03-25,09:29,Sarah Johnson,Billing Inquiry,5,135,Resolved,3
CALL-1357,2024-06-23,12:22,James Wilson,Complaint,21,396,Resolved,5
CALL-1358,2024-06-06,11:18,Chris Anderson,Technical Support,38,406,Resolved,4
CALL-1359,2024-02-21,15:51,Jennifer White,Billing Inquiry,70,177,Resolved,4
CALL-1360,2024-04-01,13:50,Chris Anderson,Technical Support,8,375,Resolved,3
CALL-1361,2024-06-01,10:57,Lisa Martinez,Billing Inquiry,69,176,Escalated,4
CALL-1362,2024-02-10,09:42,James Wilson,Technical Support,43,162,Resolved,5
CALL-1363,2024-02-26,15:51,Amanda Taylor,Technical Support,65,213,Resolved,4
CALL-1364,2024-06-27,11:37,Sarah Johnson,New Service,29,472,Resolved,5
CALL-1365,2024-05-06,14:11,Chris Anderson,Billing Inquiry,70,205,Resolved,4
CALL-1366,2024-03-25,18:12,Emily Davis,Technical Support,40,623,Callback Scheduled,1
CALL-1367,2024-02-07,15:58,Emily Davis,New Service,67,183,Unresolved,1
CALL-1368,2024-06-18,12:06,David Brown,Technical Support,32,475,Callback Scheduled,2
CALL-1369,2024-05-04,15:11,Jennifer White,Account Changes,76,185,Resolved,4
CALL-1370,2024-02-14,12:46,Lisa Martinez,Billing Inquiry,18,49,Callback Scheduled,1
CALL-1371,2024-05-25,08:38,David Brown,General Inquiry,38,114,Resolved,5
CALL-1372,2024-02-06,11:04,James Wilson,Technical Support,32,582,Unresolved,3
CALL-1373,2024-06-20,15:56,David Brown,Technical Support,43,515,Resolved,4
CALL-1374,2024-01-28,16:03,Amanda Taylor,Technical Support,14,456,Resolved,5
CALL-1375,2024-03-30,14:06,Chris Anderson,New Service,15,274,Resolved,5
CALL-1376,2024-01-09,11:20,Lisa Martinez,General Inquiry,55,129,Resolved,5
CALL-1377,2024-05-20,18:05,David Brown,Account Changes,7,185,Resolved,5
CALL-1378,2024-02-12,15:27,Emily Davis,Billing Inquiry,18,307,Resolved,5
CALL-1379,2024-05-18,11:18,Lisa Martinez,Billing Inquiry,69,201,Escalated,2
CALL-1380,2024-04-02,08:05,Lisa Martinez,Complaint,8,227,Resolved,4
CALL-1381,2024-06-12,11:05,Chris Anderson,Complaint,37,384,Escalated,3
CALL-1382,2024-01-24,15:24,Emily Davis,Technical Support,35,474,Resolved,5
CALL-1383,2024-03-08,10:17,Robert Garcia,Billing Inquiry,45,99,Resolved,4
CALL-1384,2024-05-18,12:48,Robert Garcia,Billing Inquiry,43,199,Resolved,5
CALL-1385,2024-06-24,17:30,Robert Garcia,Complaint,16,305,Unresolved,2
CALL-1386,2024-05-08,14:33,Robert Garcia,Account Changes,37,215,Escalated,2
CALL-1387,2024-02-12,19:51,James Wilson,Billing Inquiry,5,254,Resolved,5
CALL-1388,2024-06-09,10:38,Lisa Martinez,Technical Support,39,193,Resolved,5
CALL-1389,2024-05-21,11:17,Jennifer White,Technical Support,69,261,Resolved,4
CALL-1390,2024-04-17,09:09,Emily Davis,Account Changes,5,147,Resolved,4
CALL-1391,2024-01-26,16:55,Jennifer White,Complaint,36,251,Escalated,3
CALL-1392,2024-05-01,08:17,Amanda Taylor,Billing Inquiry,5,127,Resolved,5
CALL-1393,2024-03-25,16:03,Chris Anderson,General Inquiry,28,115,Escalated,3
CALL-1394,2024-03-12,17:54,Mike Chen,General Inquiry,27,150,Escalated,3
CALL-1395,2024-03-23,11:26,Robert Garcia,Account Changes,50,285,Escalated,3
CALL-1396,2024-05-12,17:52,Sarah Johnson,Technical Support,34,511,Resolved,4
CALL-1397,2024-05-14,17:01,Emily Davis,Billing Inquiry,43,90,Resolved,5
CALL-1398,2024-04-02,16:17,David Brown,Complaint,5,295,Resolved,3
CALL-1399,2024-04-05,14:28,Emily Davis,General Inquiry,20,127,Resolved,5
CALL-1400,2024-03-07,16:44,Mike Chen,Technical Support,15,469,Resolved,5
CALL-1401,2024-02-26,15:43,James Wilson,Technical Support,41,433,Escalated,3
CALL-1402,2024-01-03,13:08,Emily Davis,Account Changes,40,242,Escalated,3
CALL-1403,2024-06-13,11:57,Amanda Taylor,Complaint,31,316,Resolved,5
CALL-1404,2024-06-08,12:06,Sarah Johnson,Technical Support,5,213,Resolved,5
CALL-1405,2024-06-04,11:43,Mike Chen,Technical Support,36,506,Resolved,4
CALL-1406,2024-06-16,16:57,Lisa Martinez,Billing Inquiry,10,175,Resolved,5
CALL-1407,2024-06-02,12:20,Emily Davis,New Service,5,50,Resolved,5
CALL-1408,2024-04-09,16:37,Robert Garcia,Complaint,7,418,Escalated,3
CALL-1409,2024-05-01,18:42,David Brown,Technical Support,46,220,Callback Scheduled,1
CALL-1410,2024-01-25,13:47,Lisa Martinez,New Service,5,273,Callback Scheduled,3
CALL-1411,2024-06-16,09:22,James Wilson,New Service,12,538,Resolved,4
CALL-1412,2024-03-16,13:07,Chris Anderson,Billing Inquiry,7,126,Resolved,5
CALL-1413,2024-02-19,14:55,Amanda Taylor,Technical Support,10,552,Resolved,5
CALL-1414,2024-03-28,12:36,Chris Anderson,Billing Inquiry,33,154,Resolved,4
CALL-1415,2024-02-15,11:03,Sarah Johnson,Technical Support,53,630,Resolved,4
CALL-1416,2024-01-23,10:27,Amanda Taylor,Technical Support,64,393,Resolved,3
CALL-1417,2024-04-05,18:57,David Brown,New Service,21,356,Resolved,5
CALL-1418,2024-02-27,16:22,Lisa Martinez,Billing Inquiry,5,228,Resolved,5
CALL-1419,2024-03-17,18:29,Jennifer White,Account Changes,5,368,Unresolved,1
CALL-1420,2024-05-05,12:12,Emily Davis,General Inquiry,42,102,Resolved,5
CALL-1421,2024-02-03,10:01,Robert Garcia,Technical Support,67,558,Escalated,3
CALL-1422,2024-06-12,11:34,Robert Garcia,Billing Inquiry,74,177,Resolved,2
CALL-1423,2024-06-25,09:28,Amanda Taylor,Billing Inquiry,24,263,Resolved,5
CALL-1424,2024-01-03,11:42,Mike Chen,Account Changes,41,337,Resolved,5
CALL-1425,2024-01-27,14:39,Mike Chen,Technical Support,50,275,Resolved,5
CALL-1426,2024-05-13,19:22,Amanda Taylor,Technical Support,47,456,Resolved,5
CALL-1427,2024-03-25,11:00,Mike Chen,Complaint,60,184,Resolved,3
CALL-1428,2024-05-10,09:46,Mike Chen,Complaint,11,221,Unresolved,1
CALL-1429,2024-01-13,09:11,Sarah Johnson,Complaint,5,404,Escalated,2
CALL-1430,2024-01-12,08:08,Emily Davis,Technical Support,64,226,Resolved,5
CALL-1431,2024-04-05,17:11,Mike Chen,Technical Support,40,396,Resolved,5
CALL-1432,2024-04-17,15:51,Emily Davis,Billing Inquiry,42,162,Callback Scheduled,1
CALL-1433,2024-04-16,18:30,Robert Garcia,Account Changes,33,303,Resolved,3
CALL-1434,2024-06-24,17:46,Emily Davis,Technical Support,5,439,Resolved,3
CALL-1435,2024-06-16,11:45,Jennifer White,New Service,22,295,Unresolved,2
CALL-1436,2024-03-27,14:44,Robert Garcia,Billing Inquiry,37,145,Resolved,5
CALL-1437,2024-04-08,10:52,Jennifer White,Complaint,42,291,Unresolved,2
CALL-1438,2024-04-30,17:55,Emily Davis,Billing Inquiry,10,182,Unresolved,1
CALL-1439,2024-02-27,14:24,Amanda Taylor,Complaint,64,346,Escalated,2
CALL-1440,2024-05-07,13:07,Chris Anderson,New Service,45,372,Resolved,5
CALL-1441,2024-01-24,16:39,Lisa Martinez,Complaint,5,249,Escalated,3
CALL-1442,2024-01-14,17:54,Chris Anderson,Technical Support,27,250,Escalated,3
CALL-1443,2024-04-25,09:48,James Wilson,Billing Inquiry,7,240,Escalated,3
CALL-1444,2024-04-05,16:02,Emily Davis,Technical Support,39,233,Resolved,4
CALL-1445,2024-02-20,10:59,Amanda Taylor,Billing Inquiry,50,148,Resolved,5
CALL-1446,2024-01-12,18:53,Robert Garcia,Billing Inquiry,42,142,Resolved,5
CALL-1447,2024-05-07,08:47,Sarah Johnson,Account Changes,5,279,Callback Scheduled,2
CALL-1448,2024-02-15,16:11,Emily Davis,Billing Inquiry,10,118,Resolved,5
CALL-1449,2024-04-17,19:58,James Wilson,Technical Support,76,344,Resolved,3
CALL-1450,2024-04-15,15:56,Jennifer White,Technical Support,33,181,Escalated,4
CALL-1451,2024-06-10,10:13,Robert Garcia,New Service,27,135,Resolved,5
CALL-1452,2024-02-15,14:44,David Brown,New Service,46,221,Resolved,5
CALL-1453,2024-04-16,15:57,Jennifer White,Technical Support,65,232,Resolved,2
CALL-1454,2024-02-07,09:03,James Wilson,Technical Support,37,67,Resolved,4
CALL-1455,2024-01-16,16:18,James Wilson,New Service,60,399,Resolved,5
CALL-1456,2024-05-23,17:47,Jennifer White,Technical Support,5,404,Resolved,5
CALL-1457,2024-01-13,18:24,Amanda Taylor,General Inquiry,42,115,Resolved,3
CALL-1458,2024-03-05,10:55,Chris Anderson,Complaint,71,225,Escalated,3
CALL-1459,2024-05-19,16:12,James Wilson,Technical Support,38,591,Resolved,4
CALL-1460,2024-05-11,09:02,Amanda Taylor,Technical Support,23,494,Escalated,2
CALL-1461,2024-04-29,16:09,Sarah Johnson,Billing Inquiry,22,195,Callback Scheduled,2
CALL-1462,2024-06-18,11:50,Robert Garcia,Account Changes,73,289,Resolved,5
CALL-1463,2024-05-13,09:32,Emily Davis,Technical Support,16,407,Resolved,4
CALL-1464,2024-03-25,11:18,James Wilson,General Inquiry,28,92,Resolved,5
CALL-1465,2024-06-15,08:42,David Brown,Technical Support,47,321,Resolved,5
CALL-1466,2024-06-23,17:24,Mike Chen,Technical Support,9,394,Callback Scheduled,3
CALL-1467,2024-04-05,14:32,Chris Anderson,Technical Support,36,595,Resolved,3
CALL-1468,2024-01-25,10:49,Jennifer White,Technical Support,35,357,Resolved,4
CALL-1469,2024-06-24,12:06,James Wilson,Technical Support,8,90,Escalated,3
CALL-1470,2024-01-19,16:09,Sarah Johnson,Technical Support,20,466,Resolved,5
CALL-1471,2024-05-22,09:52,James Wilson,Complaint,6,354,Escalated,3
CALL-1472,2024-04-09,15:34,Sarah Johnson,Account Changes,20,158,Resolved,5
CALL-1473,2024-01-19,11:32,Mike Chen,Technical Support,34,261,Resolved,5
CALL-1474,2024-04-07,12:42,Sarah Johnson,Technical Support,14,405,Resolved,5
CALL-1475,2024-05-19,11:40,Emily Davis,Technical Support,84,206,Callback Scheduled,2
CALL-1476,2024-01-03,14:35,Emily Davis,Billing Inquiry,71,182,Resolved,5
CALL-1477,2024-03-19,10:47,David Brown,Billing Inquiry,77,121,Resolved,3
CALL-1478,2024-06-06,17:12,Mike Chen,Billing Inquiry,37,79,Callback Scheduled,3
CALL-1479,2024-05-20,13:35,Mike Chen,Technical Support,33,443,Escalated,3
CALL-1480,2024-03-25,11:42,James Wilson,Billing Inquiry,13,100,Resolved,5
CALL-1481,2024-06-06,15:44,Robert Garcia,Billing Inquiry,11,140,Unresolved,1
CALL-1482,2024-03-21,11:14,Amanda Taylor,Technical Support,25,566,Resolved,5
CALL-1483,2024-04-24,11:19,Chris Anderson,Account Changes,57,327,Escalated,4
CALL-1484,2024-02-05,18:12,Lisa Martinez,New Service,5,235,Callback Scheduled,3
CALL-1485,2024-06-10,08:37,Robert Garcia,Technical Support,5,273,Resolved,5
CALL-1486,2024-05-18,13:49,Emily Davis,Technical Support,30,633,Escalated,2
CALL-1487,2024-04-28,14:05,Amanda Taylor,Technical Support,59,426,Unresolved,3
CALL-1488,2024-06-24,10:32,Emily Davis,Technical Support,65,697,Resolved,5
CALL-1489,2024-05-03,18:02,James Wilson,New Service,26,444,Resolved,5
CALL-1490,2024-05-12,18:23,Amanda Taylor,Technical Support,19,430,Unresolved,1
CALL-1491,2024-06-29,19:40,Lisa Martinez,Complaint,22,412,Resolved,5
CALL-1492,2024-04-03,15:57,Mike Chen,Technical Support,13,612,Resolved,4
CALL-1493,2024-03-29,13:30,Robert Garcia,Billing Inquiry,40,140,Resolved,5
CALL-1494,2024-03-12,10:11,Emily Davis,Technical Support,42,358,Resolved,5
CALL-1495,2024-01-30,13:30,Chris Anderson,Billing Inquiry,45,266,Resolved,3
CALL-1496,2024-05-26,15:08,Jennifer White,Billing Inquiry,38,171,Resolved,4
CALL-1497,2024-04-13,15:36,Sarah Johnson,Complaint,39,134,Unresolved,1
CALL-1498,2024-06-04,19:55,Chris Anderson,Billing Inquiry,38,115,Escalated,4
CALL-1499,2024-02-16,15:32,Lisa Martinez,Billing Inquiry,27,67,Resolved,3
